name,category,last_used,comment
Python,PROGRAMMING_LANGUAGES,2026-09-25,First programming language
Javascript,PROGRAMMING_LANGUAGES,2026-09-25,
C,PROGRAMMING_LANGUAGES,2026-01-17,
Java,PROGRAMMING_LANGUAGES,2026-09-23,
OCaml,PROGRAMMING_LANGUAGES,2025-08-13,Learned this at TUM
C++,PROGRAMMING_LANGUAGES,2025-06-18,
Markdown,DOCUMENTS,2026-09-19,
Typst,DOCUMENTS,2026-09-24,Check out https://typst.app/
LaTeX,DOCUMENTS,2026-07-13,
HTML,WEB_DEVELOPMENT,2026-09-16,
CSS,WEB_DEVELOPMENT,2026-09-12,
Typescript,WEB_DEVELOPMENT,2026-09-25,
Tailwind,WEB_DEVELOPMENT,2026-09-12,
Next.js,WEB_DEVELOPMENT,2026-09-25,
Figma,DESIGN_TOOLS,2026-09-10,
GIMP,GRAPHICS_EDITORS,2026-09-15,I hope the GIMP UX gets a little love
Docker,CONTAINERS,2026-09-25,
SQL,DATABASES,2026-09-25,
Bash,COMMAND_LINES,2026-09-25,
Git,VERSION_CONTROL,2026-09-25,
Visual Studio Code,IDE,2026-09-25,
IntelliJ Idea,IDE,2026-09-23,
